"ID","DateAdded","Category","Description","Master_ID","Notes","DatePublished","TargetPublication","Link"
61,"2/29/2016","Finance","Listing of continuing disclosure filings made for each bond issuance",281,"","",2018,""
62,"2/29/2016","Energy and environment","Metered recycled irrigation billed to all accounts, rolling 12 months, in acre-feet",1134,"","",2018,""
63,"2/29/2016","City infrastructure","Water main break totals by year",1795,"","",2018,""
64,"2/29/2016","Economy and community","Open code enforcement cases",334,"","06/22/2016",2016,"code-enforcement-violations"
65,"2/29/2016","City infrastructure","Traffic signal inventory",1976,"","",2016,""
66,"2/29/2016","Finance","Listing of properties whose lease revenues secure lease-revenue bonds",285,"","",2018,""
67,"2/29/2016","Energy and environment","Metered water billed to all accounts, rolling 12 months, in acre-feet",1126,"","",2017,""
68,"2/29/2016","City infrastructure","Water main breaks as a geographic dataset",1210,"","",2017,""
69,"2/29/2016","Economy and community","Financial support for candidates and ballot measures up for election",36,"","06/22/2016",2016,"financial-support-candidates-and-ballot-measures-election"
70,"2/29/2016","Transportation","Traffic volumes",1958,"","06/22/2016",2016,"traffic-volumes"
71,"2/29/2016","Energy and environment","Metered water billed to City accounts by City Department",1132,"","",2017,""
72,"2/29/2016","Public safety","Fire incidents",742,"","06/22/2016",2016,"fire-incidents"
73,"2/29/2016","Economy and community","Zoning",586,"","06/22/2016",2016,"zoning-map"
74,"2/29/2016","Public safety","City of San Diego Fire-Rescue administrative battalion districts as a geographic dataset",408,"","",2017,""
75,"2/29/2016","Energy and environment","Metered water billed to City accounts by premise type",1130,"","",2018,""
76,"2/29/2016","Economy and community","Active businesses by Business Improvement District",180,"","",2017,""
77,"2/29/2016","Public safety","City of San Diego Fire-Rescue administrative engine districts as a geographic dataset",409,"","",2017,""
78,"2/29/2016","Energy and environment","Metered water billed to City accounts for Park and Recreation",1131,"","",2018,""
79,"2/29/2016","Culture and recreation","Pools/aquatic center locations as a geographic dataset",883,"","",2017,""
80,"2/29/2016","City infrastructure","Recreation center locations",884,"","06/22/2016",2016,"recreation-center-locations"
81,"2/29/2016","City management and ethics","Active campaign committees",29,"","",2018,""
82,"2/29/2016","Energy and environment","Monthly reservoir reports for Hodges, Sutherland, Olivenhain reservoirs",1660,"","",2017,""
83,"2/29/2016","City management and ethics","Public Utilities Capital Improvements Program as a geographic dataset",1406,"","",2018,""
84,"2/29/2016","Economy and community","Code enforcement case status",337,"","06/22/2016",2016,"code-enforcement-violations"
85,"2/29/2016","Culture and recreation","Amount of money each city-funded arts and culture organization annually spends in the local economy",220,"","",2018,""
86,"2/29/2016","Economy and community","Number of companies assisted annually through the Economic Development Department",NA,"b","",2018,""
87,"2/29/2016","Economy and community","Recently closed code enforcement cases",335,"","",2018,""
88,"2/29/2016","City infrastructure","Monitoring of indicator bacteria in drinking water",1487,"","06/22/2016",2016,"monitoring-indicator-bacteria-drinking-water"
89,"2/29/2016","Culture and recreation","Amount of revenue contributed by entities other than the city annually to each arts and culture organization that also receives City funding",226,"","",2018,""
90,"2/29/2016","Culture and recreation","Number of free admissions offered annually by each arts and culture organization that receives city funding",228,"","",2018,""
91,"2/29/2016","Energy and environment","Recycled water billed to City accounts",1128,"","",2018,""
92,"2/29/2016","City management and ethics","Appointments, reappointments, resignations in City boards and commissions",31,"","",2017,""
93,"2/29/2016","Culture and recreation","Number of full-time employees, part-time employees and volunteers engaged by each arts and culture organization that receives city funding",219,"","",2018,""
94,"2/29/2016","Finance","Recycled water utility revenue by rate category",1124,"","",2018,""
95,"2/29/2016","Culture and recreation","Athletic areas as a geographic dataset",878,"","",2017,""
96,"2/29/2016","Culture and recreation","Number of paid admissions collected annually by each arts and culture organization that receives city funding",227,"","",2018,""
97,"2/29/2016","Economy and community","Bank reported vacant/foreclosed properties",314,"","",2018,""
98,"2/29/2016","Culture and recreation","Number of people who attend the services provided by city-funded arts and culture organizations each year",224,"","",2018,""
99,"2/29/2016","Culture and recreation","Beach amentities by beach",755,"","",2019,""
100,"2/29/2016","City management and ethics","Number of unique and return visitors to sandiego.gov",362,"","",2018,""
101,"2/29/2016","Public safety","Beach misdemeanor and infraction tracking",757,"","",2019,""
102,"2/29/2016","Economy and community","Numbers of new storefront improvement program participants",592,"","",2018,""
103,"2/29/2016","Economy and community","Business Improvement District boundaries",388,"","06/22/2016",2016,"business-improvement-district-boundaries"
104,"2/29/2016","Economy and community","Numbers of projects completed as part of the storefront improvement program",593,"","",2018,""
105,"2/29/2016","Economy and community","Business listings",179,"","06/22/2016",2016,"active-businesses-san-diego"
106,"2/29/2016","Culture and recreation","Numbers of tourists who access services from arts and culture organizations that receive City funding",223,"","",2018,""
107,"2/29/2016","Culture and recreation","Official Library circulation statistics",828,"","",2019,""
108,"2/29/2016","Culture and recreation","Parcels designated as open space in GIS layer",437,"","",2017,""
109,"2/29/2016","Culture and recreation","Park land by dedication status as a geographic dataset",880,"","",2017,""
110,"2/29/2016","Economy and community","Parking impact zones for campus, coast & beach as a geographic dataset",438,"","",2017,""
111,"2/29/2016","City infrastructure","Parks restroom inventory",906,"","",2019,""
112,"2/29/2016","Finance","Payments to vendors who work with the City",143,"","",2017,""
113,"2/29/2016","Culture and recreation","Playground locations as a geographic dataset",882,"","",2017,""
114,"2/29/2016","Public safety","Police adult arrest log",1097,"","",2018,""
115,"2/29/2016","Public safety","Police tracking of collisions, including date/time and location",1096,"","",2017,""
116,"6/8/2016","City infrastructure","Street projects (slurry, overlay, concrete)",2017,"","",2017,""
117,"6/8/2016","City infrastructure","Street Overall Condition Index",2018,"","",2017,""
118,"6/8/2016","City infrastructure","Sidewalk Overall Condition Index",NA,"b","",2018,""
119,"6/8/2016","City infrastructure","Parking meter locations",NA,"b","06/22/2016",2016,"parking-meter-locations"
120,"6/8/2016","Public safety","Fire station locations",NA,"b","06/22/2016",2016,"fire-stations"
121,"6/8/2016","City infrastructure","Bike-friendly miles added or improved",NA,"b","",2017,""
122,"6/8/2016","City infrastructure","Parcels to City-owned properties",NA,"b","06/22/2016",2016,"parcels-city-owned-properties"
123,"6/8/2016","City management and ethics","Results from the resident satisfaction survey",NA,"b","",2017,""
124,"6/8/2016","City infrastructure","Get It Done Requests (311)",NA,"b","06/22/2016",2016,"311-requests"
125,"6/8/2016","City management and ethics","Street sweeping monthly performance reports",1067,"","",2017,""
126,"6/8/2016","Economy and community","Code enforcement complaint type codes",NA,"b","06/22/2016",2016,"complaint-type-codes"
127,"6/8/2016","City infrastructure","Available services through Get It Done (311)",NA,"b","06/22/2016",2016,"311-services"
128,"6/8/2016","Culture and recreation","Locations of public art",210,"","",2017,""
129,"6/8/2016","Culture and recreation","Library and recreation center programs",NA,"b","",2019,""
130,"6/8/2016","Economy and community","Maintenance Assessment Districts as a geographic dataset",411,"","",2017,""
131,"6/8/2016","Economy and community","Revolving Loan Fund coverage boundary",394,"","06/22/2016",2016,"revolving-loan-fund-coverage-boundary"
132,"6/8/2016","Economy and community","Businesses opened this year according to business tax records",NA,"b","06/22/2016",2016,"businesses-opened-year"
133,"6/8/2016","City infrastructure","Monitoring of select chemical parameters in drinking water",NA,"b","06/22/2016",2016,"monitoring-select-chemical-parameters-drinking-water"
134,"6/8/2016","City infrastructure","Drinking water sample sites",537,"","06/22/2016",2016,"drinking-water-sample-sites"
135,"6/8/2016","Energy and environment","City energy use",698,"","",2017,""
136,"6/8/2016","Public safety","Police vehicle stop data",1098,"","",2017,""
137,"7/29/2016","Public safety","Police calls for service",1102,"","06/22/2016",2016,"police-calls-service"
138,"7/29/2016","City infrastructure","City-owned property details",NA,"y","06/22/2016",2016,"city-owned-property-details"
139,"7/29/2016","Culture and recreation","Library locations in San Diego County",NA,"y","06/22/2016",2016,"library-locations-san-diego-county"
140,"7/29/2016","Culture and recreation","Park locations",NA,"y","06/22/2016",2016,"park-locations"
141,"7/29/2016","City infrastructure","City Right-of-Way boundaries",NA,"y","06/22/2016",2016,"city-right-way-boundaries"
142,"7/29/2016","Public safety","Police beats",NA,"y","06/22/2016",2016,"police-beats"
143,"7/29/2016","Public safety","Police call disposition codes",NA,"y","06/22/2016",2016,"police-call-disposition-codes"
144,"7/29/2016","Public safety","Police call types",NA,"y","06/22/2016",2016,"police-call-types"
145,"7/29/2016","Finance","Billing for leases on City-owned properties",NA,"","06/22/2016",2016,"billing-leases-city-owned-properties"
